Words========================================================
1877 			 Abdou Thioye's Project
1	precise 			 Abdou Thioye's Project 
1	Watt 			 Abdou Thioye's Project 
1	names 			 Abdou Thioye's Project 
1	design 			 Abdou Thioye's Project 
1	Although 			 Abdou Thioye's Project 
1	has 			 Abdou Thioye's Project 
1	New 			 Abdou Thioye's Project 
1	hop 			 Abdou Thioye's Project 
1	sat 			 Abdou Thioye's Project 
1	bulldozer 			 Abdou Thioye's Project 
1	decade 			 Abdou Thioye's Project 
1	nothing 			 Abdou Thioye's Project 
1	watch 			 Abdou Thioye's Project 
1	few 			 Abdou Thioye's Project 
1	others 			 Abdou Thioye's Project 
1	remember 			 Abdou Thioye's Project 
1	could 			 Abdou Thioye's Project 
1	medicine 			 Abdou Thioye's Project 
1	collect 			 Abdou Thioye's Project 
1	life's 			 Abdou Thioye's Project 
1	such 			 Abdou Thioye's Project 
1	become 			 Abdou Thioye's Project 
1	out 			 Abdou Thioye's Project 
1	time 			 Abdou Thioye's Project 
1	lived 			 Abdou Thioye's Project 
1	AMAZING 			 Abdou Thioye's Project 
1	place 			 Abdou Thioye's Project 
1	yet 			 Abdou Thioye's Project 
1	skilled 			 Abdou Thioye's Project 
1	tend 			 Abdou Thioye's Project 
1	Pioneers 			 Abdou Thioye's Project 
1	leaps 			 Abdou Thioye's Project 
1	power 			 Abdou Thioye's Project 
1	provided 			 Abdou Thioye's Project 
1	snail 			 Abdou Thioye's Project 
1	objects 			 Abdou Thioye's Project 
1	different 			 Abdou Thioye's Project 
1	truth 			 Abdou Thioye's Project 
1	given 			 Abdou Thioye's Project 
1	leaves 			 Abdou Thioye's Project 
1	know 			 Abdou Thioye's Project 
1	A 			 Abdou Thioye's Project 
1	example 			 Abdou Thioye's Project 
1	anything 			 Abdou Thioye's Project 
1	Mary 			 Abdou Thioye's Project 
1	teach 			 Abdou Thioye's Project 
1	human 			 Abdou Thioye's Project 
1	works 			 Abdou Thioye's Project 
1	world 			 Abdou Thioye's Project 
1	by 			 Abdou Thioye's Project 
1	despite 			 Abdou Thioye's Project 
1	little 			 Abdou Thioye's Project 
1	Franklin's 			 Abdou Thioye's Project 
1	These 			 Abdou Thioye's Project 
1	weave 			 Abdou Thioye's Project 
1	incomprehensible 			 Abdou Thioye's Project 
1	explode 			 Abdou Thioye's Project 
1	change 			 Abdou Thioye's Project 
1	longer 			 Abdou Thioye's Project 
1	current 			 Abdou Thioye's Project 
1	immediately 			 Abdou Thioye's Project 
1	twitched 			 Abdou Thioye's Project 
1	bloodstream 			 Abdou Thioye's Project 
1	another 			 Abdou Thioye's Project 
1	things 			 Abdou Thioye's Project 
1	Transformer 			 Abdou Thioye's Project 


Frec	Words==================================================
32	the			 Abdou Thioye's Project
22	a			 Abdou Thioye's Project
21	to			 Abdou Thioye's Project
15	and			 Abdou Thioye's Project
15	of			 Abdou Thioye's Project
14	that			 Abdou Thioye's Project
13	in			 Abdou Thioye's Project
12	it			 Abdou Thioye's Project
11	was			 Abdou Thioye's Project
10	your			 Abdou Thioye's Project
9	electricity			 Abdou Thioye's Project
9	is			 Abdou Thioye's Project
7	electrical			 Abdou Thioye's Project
7	you			 Abdou Thioye's Project
6	an			 Abdou Thioye's Project
6	can			 Abdou Thioye's Project
6	he			 Abdou Thioye's Project
6	so			 Abdou Thioye's Project
5	be			 Abdou Thioye's Project
5	have			 Abdou Thioye's Project
4	as			 Abdou Thioye's Project
4	back			 Abdou Thioye's Project
4	came			 Abdou Thioye's Project
4	carpet			 Abdou Thioye's Project
4	electric			 Abdou Thioye's Project
4	feet			 Abdou Thioye's Project
4	from			 Abdou Thioye's Project
4	into			 Abdou Thioye's Project
4	then			 Abdou Thioye's Project
4	This			 Abdou Thioye's Project
4	we			 Abdou Thioye's Project
4	where			 Abdou Thioye's Project
4	which			 Abdou Thioye's Project
3	brilliant			 Abdou Thioye's Project
3	but			 Abdou Thioye's Project
3	But			 Abdou Thioye's Project
3	company			 Abdou Thioye's Project
3	customer			 Abdou Thioye's Project
3	Edison's			 Abdou Thioye's Project
3	Electrical			 Abdou Thioye's Project
3	electrons			 Abdou Thioye's Project
3	Franklin			 Abdou Thioye's Project
3	frog			 Abdou Thioye's Project
3	important			 Abdou Thioye's Project
3	many			 Abdou Thioye's Project
3	same			 Abdou Thioye's Project
3	take			 Abdou Thioye's Project
3	them			 Abdou Thioye's Project
3	this			 Abdou Thioye's Project
3	through			 Abdou Thioye's Project
3	very			 Abdou Thioye's Project
3	when			 Abdou Thioye's Project
2	almost			 Abdou Thioye's Project
2	along			 Abdou Thioye's Project
2	also			 Abdou Thioye's Project
2	attached			 Abdou Thioye's Project
2	Dave			 Abdou Thioye's Project
2	day			 Abdou Thioye's Project
2	Edison			 Abdou Thioye's Project
2	etc			 Abdou Thioye's Project
2	fact			 Abdou Thioye's Project
2	finger			 Abdou Thioye's Project
2	found			 Abdou Thioye's Project
2	greatest			 Abdou Thioye's Project
2	Here			 Abdou Thioye's Project
2	how			 Abdou Thioye's Project
2	leg			 Abdou Thioye's Project
2	lesson			 Abdou Thioye's Project
2	lightning			 Abdou Thioye's Project
2	like			 Abdou Thioye's Project
2	must			 Abdou Thioye's Project
2	on			 Abdou Thioye's Project
2	Pioneer			 Abdou Thioye's Project
2	powerful			 Abdou Thioye's Project
2	sends			 Abdou Thioye's Project
2	simple			 Abdou Thioye's Project
2	Today			 Abdou Thioye's Project
2	travel			 Abdou Thioye's Project
2	unless			 Abdou Thioye's Project
2	up			 Abdou Thioye's Project
2	use			 Abdou Thioye's Project
2	who			 Abdou Thioye's Project
2	will			 Abdou Thioye's Project
2	would			 Abdou Thioye's Project
1	1879			 Abdou Thioye's Project
1	1923			 Abdou Thioye's Project
1	[			 Abdou Thioye's Project
1	]			 Abdou Thioye's Project
1	A			 Abdou Thioye's Project
1	adaptation			 Abdou Thioye's Project
1	advances			 Abdou Thioye's Project
1	after			 Abdou Thioye's Project
1	ago			 Abdou Thioye's Project
1	Although			 Abdou Thioye's Project
1	AMAZING			 Abdou Thioye's Project
1	Amp			 Abdou Thioye's Project
1	another			 Abdou Thioye's Project
1	anything			 Abdou Thioye's Project
1	anyway			 Abdou Thioye's Project
1	appliance			 Abdou Thioye's Project
1	batch			 Abdou Thioye's Project
1	because			 Abdou Thioye's Project
1	become			 Abdou Thioye's Project
1	benefits			 Abdou Thioye's Project
1	Benjamin			 Abdou Thioye's Project
1	bloodstream			 Abdou Thioye's Project
1	bulldozer			 Abdou Thioye's Project
1	by			 Abdou Thioye's Project
1	change			 Abdou Thioye's Project
1	check			 Abdou Thioye's Project
1	collect			 Abdou Thioye's Project
1	come			 Abdou Thioye's Project
1	conducted			 Abdou Thioye's Project
1	cool			 Abdou Thioye's Project
1	could			 Abdou Thioye's Project
1	current			 Abdou Thioye's Project
1	decade			 Abdou Thioye's Project
1	delicate			 Abdou Thioye's Project
1	dental			 Abdou Thioye's Project
1	design			 Abdou Thioye's Project
1	despite			 Abdou Thioye's Project
1	Did			 Abdou Thioye's Project
1	did			 Abdou Thioye's Project
1	different			 Abdou Thioye's Project
1	dirt			 Abdou Thioye's Project
1	discovered			 Abdou Thioye's Project
1	discovery			 Abdou Thioye's Project
1	doctors			 Abdou Thioye's Project
1	earned			 Abdou Thioye's Project
1	education			 Abdou Thioye's Project
1	email			 Abdou Thioye's Project
1	examine			 Abdou Thioye's Project
1	example			 Abdou Thioye's Project
1	experiments			 Abdou Thioye's Project
1	explode			 Abdou Thioye's Project
1	FACT			 Abdou Thioye's Project
1	few			 Abdou Thioye's Project
1	filling			 Abdou Thioye's Project
1	form			 Abdou Thioye's Project
1	Franklin's			 Abdou Thioye's Project
1	frog's			 Abdou Thioye's Project
1	get			 Abdou Thioye's Project
1	given			 Abdou Thioye's Project
1	granted			 Abdou Thioye's Project
1	hand			 Abdou Thioye's Project
1	has			 Abdou Thioye's Project
1	homes			 Abdou Thioye's Project
1	hop			 Abdou Thioye's Project
1	http//wwwukresearchattcom/~fms/electricityhtml			 Abdou Thioye's Project
1	human			 Abdou Thioye's Project
1	I			 Abdou Thioye's Project
1	immediately			 Abdou Thioye's Project
1	implant			 Abdou Thioye's Project
1	In			 Abdou Thioye's Project
1	incomprehensible			 Abdou Thioye's Project
1	job			 Abdou Thioye's Project
1	kicked			 Abdou Thioye's Project
1	know			 Abdou Thioye's Project
1	leaps			 Abdou Thioye's Project
1	leaves			 Abdou Thioye's Project
1	life's			 Abdou Thioye's Project
1	little			 Abdou Thioye's Project
1	lived			 Abdou Thioye's Project
1	long			 Abdou Thioye's Project
1	longer			 Abdou Thioye's Project
1	major			 Abdou Thioye's Project
1	Mary			 Abdou Thioye's Project
1	medicine			 Abdou Thioye's Project
1	modern			 Abdou Thioye's Project
1	more			 Abdou Thioye's Project
1	mouth			 Abdou Thioye's Project
1	muscles			 Abdou Thioye's Project
1	Myron			 Abdou Thioye's Project
1	names			 Abdou Thioye's Project
1	new			 Abdou Thioye's Project
1	New			 Abdou Thioye's Project
1	nothing			 Abdou Thioye's Project
1	notice			 Abdou Thioye's Project
1	objects			 Abdou Thioye's Project
1	office			 Abdou Thioye's Project
1	On			 Abdou Thioye's Project
1	only			 Abdou Thioye's Project
1	or			 Abdou Thioye's Project
1	other			 Abdou Thioye's Project
1	others			 Abdou Thioye's Project
1	out			 Abdou Thioye's Project
1	pain			 Abdou Thioye's Project
1	phonograph			 Abdou Thioye's Project
1	Pioneers			 Abdou Thioye's Project
1	place			 Abdou Thioye's Project
1	plug			 Abdou Thioye's Project
1	pond			 Abdou Thioye's Project
1	power			 Abdou Thioye's Project
1	precise			 Abdou Thioye's Project
1	provided			 Abdou Thioye's Project
1	radios			 Abdou Thioye's Project
1	reach			 Abdou Thioye's Project
1	remember			 Abdou Thioye's Project
1	respond			 Abdou Thioye's Project
1	right			 Abdou Thioye's Project
1	sat			 Abdou Thioye's Project
1	saved			 Abdou Thioye's Project
1	science			 Abdou Thioye's Project
1	scientific			 Abdou Thioye's Project
1	seriously			 Abdou Thioye's Project
1	short			 Abdou Thioye's Project
1	since			 Abdou Thioye's Project
1	skilled			 Abdou Thioye's Project
1	snail			 Abdou Thioye's Project
1	spark			 Abdou Thioye's Project
1	started			 Abdou Thioye's Project
1	such			 Abdou Thioye's Project
1	surgeons			 Abdou Thioye's Project
1	teach			 Abdou Thioye's Project
1	teaches			 Abdou Thioye's Project
1	tend			 Abdou Thioye's Project
1	These			 Abdou Thioye's Project
1	things			 Abdou Thioye's Project
1	though			 Abdou Thioye's Project
1	thus			 Abdou Thioye's Project
1	time			 Abdou Thioye's Project
1	toaster			 Abdou Thioye's Project
1	touch			 Abdou Thioye's Project
1	Transformer			 Abdou Thioye's Project
1	truth			 Abdou Thioye's Project
1	twitched			 Abdou Thioye's Project
1	vaporize			 Abdou Thioye's Project
1	watch			 Abdou Thioye's Project
1	Watt			 Abdou Thioye's Project
1	weave			 Abdou Thioye's Project
1	web			 Abdou Thioye's Project
1	without			 Abdou Thioye's Project
1	works			 Abdou Thioye's Project
1	world			 Abdou Thioye's Project
1	worry			 Abdou Thioye's Project
1	yards			 Abdou Thioye's Project
1	year			 Abdou Thioye's Project
1	yet			 Abdou Thioye's Project

